"Classificação Contextual - MF",,"Limiar MPAD: 9 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","150","0","0","6","0","9",,"165","0.909090909090909","0.0909090909090911"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","104","0","0","0",,"104","1","0"
"Forest","8","0","0","157","0","0",,"165","0.951515151515152","0.048484848484848"
"Clean Pasture","0","0","48","0","127","9",,"184","0.690217391304348","0.309782608695652"
"Dirty Pasture","4","0","11","0","36","145",,"196","0.739795918367347","0.260204081632653"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.920245398773006","1","0.638036809815951","0.96319018404908","0.779141104294479","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.079754601226994","0","0.361963190184049","0.03680981595092","0.220858895705521","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.865030674846626",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.838036809815951",,,,,,,,,
