"Classificação Contextual - MF",,"Limiar MPAD: 84 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","12","0","4","0","5",,"179","0.88268156424581","0.11731843575419"
"Water","1","150","0","0","0","0",,"151","0.993377483443709","0.00662251655629098"
"Dirt road","0","0","36","0","0","0",,"36","1","0"
"Forest","4","0","1","159","0","0",,"164","0.969512195121951","0.030487804878049"
"Clean Pasture","0","0","94","0","126","5",,"225","0.56","0.44"
"Dirty Pasture","0","1","32","0","37","153",,"223","0.68609865470852","0.31390134529148"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","0.920245398773006","0.220858895705521","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0.079754601226994","0.779141104294479","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.79959100204499",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.759509202453988",,,,,,,,,
