Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual3X3_MPAD_39DP.tif,3,0.84,2.36,0.12,0.81,0.95,1,0.56,0.94,0.7,0.91,39
Mapa_classificação_contextual3X3_MPAD_40DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,40
Mapa_classificação_contextual3X3_MPAD_41DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,41
Mapa_classificação_contextual3X3_MPAD_42DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,42
Mapa_classificação_contextual3X3_MPAD_43DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,43
Mapa_classificação_contextual3X3_MPAD_44DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,44
Mapa_classificação_contextual3X3_MPAD_45DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,45
Mapa_classificação_contextual3X3_MPAD_46DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,46
Mapa_classificação_contextual3X3_MPAD_47DP.tif,3,0.84,2.23,0,0.81,0.95,1,0.55,0.94,0.7,0.91,47
Mapa_classificação_contextual3X3_MPAD_48DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,48
Mapa_classificação_contextual3X3_MPAD_49DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,49
Mapa_classificação_contextual3X3_MPAD_50DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,50
Mapa_classificação_contextual3X3_MPAD_51DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,51
Mapa_classificação_contextual3X3_MPAD_52DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,52
Mapa_classificação_contextual3X3_MPAD_53DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,53
Mapa_classificação_contextual3X3_MPAD_54DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,54
Mapa_classificação_contextual3X3_MPAD_55DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,55
Mapa_classificação_contextual3X3_MPAD_56DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,56
Mapa_classificação_contextual3X3_MPAD_57DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,57
Mapa_classificação_contextual3X3_MPAD_58DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,58
Mapa_classificação_contextual3X3_MPAD_59DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,59
