"Classificação Contextual - MF",,"Limiar MPAD: 13 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","154","0","0","5","0","6",,"165","0.933333333333333","0.066666666666667"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","100","0","0","0",,"100","1","0"
"Forest","7","0","0","158","0","0",,"165","0.957575757575758","0.042424242424242"
"Clean Pasture","0","0","53","0","126","5",,"184","0.684782608695652","0.315217391304348"
"Dirty Pasture","1","0","10","0","37","152",,"200","0.76","0.24"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.94478527607362","1","0.613496932515337","0.969325153374233","0.773006134969325","0.932515337423313",,,,
"Erro Omissão (Exclusão)","0.05521472392638","0","0.386503067484663","0.030674846625767","0.226993865030675","0.0674846625766869",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.872188139059305",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.846625766871166",,,,,,,,,
