"Classificação Contextual - MF",,"Limiar MPAD: 3 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","142","0","0","14","0","11",,"167","0.850299401197605","0.149700598802395"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","117","0","0","0",,"117","1","0"
"Forest","14","0","0","149","0","0",,"163","0.914110429447853","0.085889570552147"
"Clean Pasture","0","0","44","0","120","9",,"173","0.69364161849711","0.30635838150289"
"Dirty Pasture","6","0","2","0","43","143",,"194","0.737113402061856","0.262886597938144"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.871165644171779","1","0.717791411042945","0.914110429447853","0.736196319018405","0.877300613496933",,,,
"Erro Omissão (Exclusão)","0.128834355828221","0","0.282208588957055","0.085889570552147","0.263803680981595","0.122699386503067",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.852760736196319",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.823312883435583",,,,,,,,,
