"Classificação Contextual - MF",,"Limiar MPAD: 15 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","155","0","0","5","0","6",,"166","0.933734939759036","0.066265060240964"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","98","0","0","0",,"98","1","0"
"Forest","7","0","0","158","0","0",,"165","0.957575757575758","0.042424242424242"
"Clean Pasture","0","0","54","0","126","4",,"184","0.684782608695652","0.315217391304348"
"Dirty Pasture","0","0","11","0","37","153",,"201","0.761194029850746","0.238805970149254"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.950920245398773","1","0.601226993865031","0.969325153374233","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.049079754601227","0","0.398773006134969","0.030674846625767","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.872188139059305",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.846625766871166",,,,,,,,,
