"Classificação Contextual - MF",,"Limiar MPAD: 4 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","146","0","0","12","0","11",,"169","0.863905325443787","0.136094674556213"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","116","0","0","0",,"116","1","0"
"Forest","10","0","0","151","0","0",,"161","0.937888198757764","0.062111801242236"
"Clean Pasture","0","0","43","0","121","8",,"172","0.703488372093023","0.296511627906977"
"Dirty Pasture","6","0","4","0","42","144",,"196","0.73469387755102","0.26530612244898"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.895705521472393","1","0.711656441717791","0.926380368098159","0.742331288343558","0.883435582822086",,,,
"Erro Omissão (Exclusão)","0.104294478527607","0","0.288343558282209","0.073619631901841","0.257668711656442","0.116564417177914",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.859918200408998",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.831901840490798",,,,,,,,,
