"Classificação Contextual - MF",,"Limiar MPAD: 20 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","157","0","0","4","0","6",,"167","0.940119760479042","0.059880239520958"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","85","0","0","0",,"85","1","0"
"Forest","5","0","0","159","0","0",,"164","0.969512195121951","0.030487804878049"
"Clean Pasture","0","0","65","0","126","4",,"195","0.646153846153846","0.353846153846154"
"Dirty Pasture","0","0","13","0","37","153",,"203","0.753694581280788","0.246305418719212"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.96319018404908","1","0.521472392638037","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.03680981595092","0","0.478527607361963","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.861963190184049",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.834355828220859",,,,,,,,,
