"Classificação Contextual - MF",,"Limiar MPAD: 2 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","140","0","0","14","0","13",,"167","0.838323353293413","0.161676646706587"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","120","0","0","0",,"120","1","0"
"Forest","16","0","0","149","0","0",,"165","0.903030303030303","0.096969696969697"
"Clean Pasture","0","0","41","0","118","12",,"171","0.690058479532164","0.309941520467836"
"Dirty Pasture","6","0","2","0","45","138",,"191","0.722513089005236","0.277486910994764"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.858895705521472","1","0.736196319018405","0.914110429447853","0.723926380368098","0.846625766871166",,,,
"Erro Omissão (Exclusão)","0.141104294478528","0","0.263803680981595","0.085889570552147","0.276073619631902","0.153374233128834",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.846625766871166",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.815950920245399",,,,,,,,,
