"Classificação Contextual - MF",,"Limiar MPAD: 12 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","153","0","0","5","0","8",,"166","0.921686746987952","0.0783132530120479"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","102","0","0","0",,"102","1","0"
"Forest","7","0","0","158","0","0",,"165","0.957575757575758","0.042424242424242"
"Clean Pasture","0","0","52","0","126","5",,"183","0.688524590163934","0.311475409836066"
"Dirty Pasture","2","0","9","0","37","150",,"198","0.757575757575758","0.242424242424242"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.938650306748466","1","0.625766871165644","0.969325153374233","0.773006134969325","0.920245398773006",,,,
"Erro Omissão (Exclusão)","0.0613496932515341","0","0.374233128834356","0.030674846625767","0.226993865030675","0.079754601226994",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.871165644171779",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.845398773006135",,,,,,,,,
