"Classificação Contextual - MF",,"Limiar MPAD: 4 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","145","0","0","12","0","11",,"168","0.863095238095238","0.136904761904762"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","115","0","0","0",,"115","1","0"
"Forest","11","0","0","151","0","0",,"162","0.932098765432099","0.067901234567901"
"Clean Pasture","0","0","44","0","121","8",,"173","0.699421965317919","0.300578034682081"
"Dirty Pasture","6","0","4","0","42","144",,"196","0.73469387755102","0.26530612244898"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.889570552147239","1","0.705521472392638","0.926380368098159","0.742331288343558","0.883435582822086",,,,
"Erro Omissão (Exclusão)","0.110429447852761","0","0.294478527607362","0.073619631901841","0.257668711656442","0.116564417177914",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.857873210633947",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.829447852760736",,,,,,,,,
