"Classificação Contextual - MF",,"Limiar MPAD: 4 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","145","0","0","14","0","11",,"170","0.852941176470588","0.147058823529412"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","121","0","0","0",,"121","1","0"
"Forest","11","0","0","149","0","0",,"160","0.93125","0.06875"
"Clean Pasture","0","0","41","0","112","8",,"161","0.695652173913043","0.304347826086957"
"Dirty Pasture","6","0","1","0","51","144",,"202","0.712871287128713","0.287128712871287"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.889570552147239","1","0.742331288343558","0.914110429447853","0.687116564417178","0.883435582822086",,,,
"Erro Omissão (Exclusão)","0.110429447852761","0","0.257668711656442","0.085889570552147","0.312883435582822","0.116564417177914",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.852760736196319",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.823312883435583",,,,,,,,,
