"Classificação Contextual - MF",,"Limiar MPAD: 29 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","0","0","4","0","5",,"167","0.946107784431138","0.053892215568862"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","63","0","0","0",,"63","1","0"
"Forest","4","0","1","159","0","0",,"164","0.969512195121951","0.030487804878049"
"Clean Pasture","0","0","71","0","126","5",,"202","0.623762376237624","0.376237623762376"
"Dirty Pasture","0","0","28","0","37","153",,"218","0.701834862385321","0.298165137614679"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","1","0.386503067484663","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0","0.613496932515337","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.840490797546012",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.808588957055214",,,,,,,,,
