"Classificação Contextual - MF",,"Limiar MPAD: 7 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","149","0","0","8","0","10",,"167","0.892215568862275","0.107784431137725"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","110","0","0","0",,"110","1","0"
"Forest","8","0","0","155","0","0",,"163","0.950920245398773","0.049079754601227"
"Clean Pasture","0","0","49","0","126","9",,"184","0.684782608695652","0.315217391304348"
"Dirty Pasture","5","0","4","0","37","144",,"190","0.757894736842105","0.242105263157895"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.914110429447853","1","0.674846625766871","0.950920245398773","0.773006134969325","0.883435582822086",,,,
"Erro Omissão (Exclusão)","0.085889570552147","0","0.325153374233129","0.049079754601227","0.226993865030675","0.116564417177914",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.866053169734151",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.839263803680981",,,,,,,,,
