"Classificação Contextual - MF",,"Limiar MPAD: 5 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","147","0","0","10","0","10",,"167","0.880239520958084","0.119760479041916"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","115","0","0","0",,"115","1","0"
"Forest","9","0","0","153","0","0",,"162","0.944444444444444","0.055555555555556"
"Clean Pasture","0","0","44","0","125","8",,"177","0.706214689265537","0.293785310734463"
"Dirty Pasture","6","0","4","0","38","145",,"193","0.751295336787565","0.248704663212435"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.901840490797546","1","0.705521472392638","0.938650306748466","0.766871165644172","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.098159509202454","0","0.294478527607362","0.0613496932515341","0.233128834355828","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.867075664621677",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.840490797546012",,,,,,,,,
