"Classificação Contextual - MF",,"Limiar MPAD: 21 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","159","0","0","4","0","5",,"168","0.946428571428571","0.053571428571429"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","81","0","0","0",,"81","1","0"
"Forest","3","0","1","159","0","0",,"163","0.975460122699387","0.024539877300613"
"Clean Pasture","0","0","60","0","126","5",,"191","0.659685863874346","0.340314136125654"
"Dirty Pasture","0","0","21","0","37","153",,"211","0.725118483412322","0.274881516587678"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.975460122699387","1","0.496932515337423","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.024539877300613","0","0.503067484662577","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.859918200408998",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.831901840490798",,,,,,,,,
