9957,9561,10437,10921,8040,5683,5333
9996,9658,10767,11499,6754,5482,5212
9931,9490,10403,11012,7249,5812,5364
10067,9726,10830,11515,6731,5227,5136
10023,9545,9942,10400,9547,8128,6734
10039,9658,10639,11261,7726,6375,5924
10090,9752,10763,11490,7107,5172,5138
10009,9623,10741,11329,7635,5904,5408
9817,9106,9030,8588,15203,10914,8268
10050,9582,10173,10541,9675,8218,6864
9879,9376,10304,10923,7959,6446,5673
10236,9794,10408,10938,10464,7726,6894
10090,9534,10177,10463,11721,9626,8049
9847,9337,9877,10214,9393,7231,6200
10165,9825,10636,11350,10005,7405,6833
10081,9703,10492,11067,9462,8038,6765
10144,9708,10423,10742,9807,7980,6658
9748,9222,9810,10187,8698,7439,6219
10017,9528,10016,10002,12359,8174,6621
9706,9124,9291,9268,10881,6590,5708
9839,9370,10004,10248,8901,6215,5588
9956,9536,10503,11090,7562,5726,5375
9979,9652,10614,11308,7125,5633,5309
9985,9572,10398,10877,8508,6108,5489
9825,9357,10137,10244,10492,6283,5535
9966,9540,10389,10677,9997,7396,6278
9754,9266,10094,10223,8774,5953,5407
9737,9242,9908,10234,8470,6507,5551
9886,9390,10056,10586,7969,6170,5501
9904,9456,9898,10306,8065,5968,5440
9903,9529,10269,10646,7951,5878,5424
9937,9560,10655,11200,7993,5853,5387
9871,9408,10119,10529,9254,6713,5801
9976,9550,10347,10889,8964,6662,5863
9955,9542,10425,10814,9018,6159,5562
9886,9444,10354,10607,9714,6327,5534
9775,9214,9922,10166,10658,7474,5979
9458,8762,9046,8957,11095,7676,6012
9760,9184,9578,9845,9632,6911,5779
9840,9399,9845,10034,8362,6065,5503
9793,9341,10165,10363,7686,5756,5323
9917,9464,10457,11148,7523,6000,5441
9935,9506,10278,10879,7680,6084,5431
9938,9523,10285,10582,8872,5902,5409
9870,9398,10322,10441,9569,6058,5432
9871,9390,10423,10909,8772,6680,5640
9856,9327,10075,10431,10076,7533,6043
9720,9192,9446,9187,12366,7187,5887
9545,8954,9449,9004,13870,7956,6095
9896,9474,10148,10673,7385,6216,5733
10098,9741,10572,11274,9099,7346,6300
10059,9596,10235,10746,12527,9250,7262
9830,9326,9808,10172,8625,6532,5626
9889,9437,10495,10960,8482,5777,5498
9954,9558,10369,10979,7969,6070,5569
10003,9621,10500,11029,8565,6180,5672
10024,9643,10651,11304,7512,5927,5537
9947,9518,10533,11122,7551,5956,5422
9833,9297,10015,10337,9397,6074,5594
10003,9677,10204,10750,9398,7765,6195
