"Classificação Contextual - MF",,"Limiar MPAD: 12 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","152","0","0","10","0","10",,"172","0.883720930232558","0.116279069767442"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","112","0","0","0",,"112","1","0"
"Forest","8","0","0","153","0","0",,"161","0.950310559006211","0.049689440993789"
"Clean Pasture","0","0","49","0","114","6",,"169","0.674556213017751","0.325443786982249"
"Dirty Pasture","2","0","2","0","49","147",,"200","0.735","0.265"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.932515337423313","1","0.687116564417178","0.938650306748466","0.699386503067485","0.901840490797546",,,,
"Erro Omissão (Exclusão)","0.0674846625766869","0","0.312883435582822","0.0613496932515341","0.300613496932515","0.098159509202454",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.859918200408998",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.831901840490798",,,,,,,,,
