"Classificação Contextual - MF",,"Limiar MPAD: 11 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","151","0","0","10","0","10",,"171","0.883040935672515","0.116959064327485"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","113","0","0","0",,"113","1","0"
"Forest","8","0","0","153","0","0",,"161","0.950310559006211","0.049689440993789"
"Clean Pasture","0","0","48","0","114","6",,"168","0.678571428571429","0.321428571428571"
"Dirty Pasture","3","0","2","0","49","147",,"201","0.73134328358209","0.26865671641791"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.926380368098159","1","0.693251533742331","0.938650306748466","0.699386503067485","0.901840490797546",,,,
"Erro Omissão (Exclusão)","0.073619631901841","0","0.306748466257669","0.0613496932515341","0.300613496932515","0.098159509202454",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.859918200408998",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.831901840490798",,,,,,,,,
