"Classificação Contextual - MF",,"Limiar MPAD: 117 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","38","0","4","0","5",,"205","0.770731707317073","0.229268292682927"
"Water","1","121","0","0","0","0",,"122","0.991803278688525","0.00819672131147497"
"Dirt road","0","0","35","0","0","0",,"35","1","0"
"Forest","4","3","1","159","0","0",,"167","0.952095808383233","0.047904191616767"
"Clean Pasture","0","0","95","0","126","5",,"226","0.557522123893805","0.442477876106195"
"Dirty Pasture","0","1","32","0","37","153",,"223","0.68609865470852","0.31390134529148"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","0.742331288343558","0.214723926380368","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0.257668711656442","0.785276073619632","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.768916155419223",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.722699386503068",,,,,,,,,
