"Classificação Contextual - MF",,"Limiar MPAD: 5 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","146","0","0","14","0","10",,"170","0.858823529411765","0.141176470588235"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","121","0","0","0",,"121","1","0"
"Forest","10","0","0","149","0","0",,"159","0.937106918238994","0.0628930817610061"
"Clean Pasture","0","0","41","0","115","8",,"164","0.701219512195122","0.298780487804878"
"Dirty Pasture","6","0","1","0","48","145",,"200","0.725","0.275"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.895705521472393","1","0.742331288343558","0.914110429447853","0.705521472392638","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.104294478527607","0","0.257668711656442","0.085889570552147","0.294478527607362","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.857873210633947",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.829447852760736",,,,,,,,,
