"Classificação Contextual - MF",,"Limiar MPAD: 6 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","147","0","0","13","0","10",,"170","0.864705882352941","0.135294117647059"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","119","0","0","0",,"119","1","0"
"Forest","9","0","0","150","0","0",,"159","0.943396226415094","0.056603773584906"
"Clean Pasture","0","0","43","0","115","8",,"166","0.692771084337349","0.307228915662651"
"Dirty Pasture","6","0","1","0","48","145",,"200","0.725","0.275"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.901840490797546","1","0.730061349693252","0.920245398773006","0.705521472392638","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.098159509202454","0","0.269938650306748","0.079754601226994","0.294478527607362","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.857873210633947",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.829447852760736",,,,,,,,,
