9594,8801,8618,8699,16528,14422,9978
9734,8981,8986,9573,15571,15285,11099
9624,8848,8722,8897,15826,14575,10229
9665,8822,8984,9363,15564,15105,10693
9759,9021,9043,9545,15633,15188,10844
9711,8934,9015,9361,15771,14720,10531
9640,8823,8947,9147,16236,14923,10528
9677,8888,8872,9023,15517,14337,10211
9860,9140,9219,10220,14608,16103,11956
9556,8757,8462,8316,15549,13300,9447
9657,8881,8814,9320,14284,14740,10701
9614,8812,8652,8778,15083,14416,10183
9695,8941,8974,9437,15436,14911,10924
9724,8991,8964,9403,15991,15822,11075
9655,8873,8791,8919,15668,15031,10709
9645,8858,8802,9243,15850,15035,10872
9634,8826,8686,8794,16279,14990,10625
9596,8782,8645,8833,15828,14158,10155
9572,8832,8509,8356,15760,13540,9417
9725,9007,9174,8972,16940,15762,10961
9661,8882,8832,9119,14782,14402,10281
9647,8848,8801,9343,15193,15006,10827
9594,8808,8680,8966,15579,15116,10641
9615,8829,8779,9225,15363,15633,11036
9594,8794,8584,8773,15462,14831,10405
9593,8798,8803,9256,15563,15600,11025
9665,8918,8898,9286,16134,16082,11274
9679,8957,9019,9369,16905,15779,10982
9870,9177,9449,10105,17566,17489,12397
10138,9543,9820,11015,17327,19574,14149
9806,9148,9187,9910,17053,16527,11624
9819,9141,9250,10206,15940,17306,12283
9801,9051,9128,9811,16966,16544,11790
9912,9241,9464,10048,18070,17089,12203
9937,9337,9382,9915,16636,16876,12068
9588,8827,8677,8537,16247,14723,10272
9670,8927,9037,9363,16740,15389,11028
9709,8950,8887,9325,15924,14946,10591
9668,8946,8872,9251,15558,15561,11276
9581,8826,8765,9189,15676,15132,11101
9526,8667,8566,8988,14517,13379,10087
9594,8863,8456,8870,13450,12437,9325
9807,9143,9108,9657,15329,15964,11643
9763,9110,9208,9615,15859,16677,12044
9696,8998,9184,9574,16796,16069,11586
9579,8810,8679,8981,15528,14224,10204
9568,8811,8606,8727,16141,13786,9798
9637,8901,8858,9027,17390,15597,10646
9540,8754,8733,8997,15123,14461,10545
9525,8733,8927,9508,14860,13683,10505
9580,8777,9169,10294,16272,13720,10608
9685,8903,9104,10180,17552,14216,10481
9636,8862,8901,9379,18184,14778,10393
9865,9133,9429,10577,16786,18753,13944
9839,9234,9264,9898,17445,18687,13399
9626,8889,8988,9380,16701,15254,10830
9579,8810,8679,8981,15528,14224,10204
9778,9070,9084,9911,16514,16915,12219
9665,8946,8799,9242,15574,16632,11764
9695,8968,8731,9000,15428,16440,11471
9739,9034,8899,9364,15744,16858,11713
9755,9047,8903,8977,16917,16233,11126
9584,8812,8568,8667,15759,15069,10501
9556,8803,8541,8471,16063,14332,10195
9564,8782,8528,8387,16165,14198,10010
9533,8789,8625,8649,16094,15062,10613
9512,8744,8576,8777,15228,15406,10995
9415,8640,8489,8570,15683,14742,10387
9543,8718,8442,8656,15215,14406,9925
9644,8844,8568,9397,14256,15942,11188
9569,8779,8397,8674,15182,14751,10283
9586,8798,8485,8798,15635,15512,10705
9557,8829,8606,8922,15270,16135,11249
9578,8850,8641,9000,15092,16629,11508
9449,8666,8422,8591,15289,14804,10147
9561,8829,8639,9404,14924,16040,11155
9574,8785,8629,9132,15490,15625,10664
9489,8693,8556,8487,14240,12686,8939
9521,8775,8555,8777,13682,12157,8934
9505,8711,8437,8850,15292,13538,9644
9478,8663,8374,8679,15522,14039,9737
9542,8756,8439,8680,15899,14474,10067
9588,8820,8534,8706,16116,15171,10520
9401,8605,8312,8326,15264,13585,9662
9382,8565,8396,8436,16572,13555,9567
9455,8631,8557,8981,16549,13912,9950
9642,8856,8873,9648,16335,15917,11388
9584,8842,8669,9298,15845,15291,10754
9498,8712,8693,9325,15022,15249,11008
9636,8904,8854,9902,14987,15834,11431
9760,9053,8914,9878,15286,16469,11670
9586,8838,8705,9003,15067,15362,10788
9474,8694,8425,8435,15107,13950,9603
