"Classificação Contextual - MF",,"Limiar MPAD: 8 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","149","0","0","12","0","10",,"171","0.871345029239766","0.128654970760234"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","115","0","0","0",,"115","1","0"
"Forest","9","0","0","151","0","0",,"160","0.94375","0.05625"
"Clean Pasture","0","0","47","0","114","8",,"169","0.674556213017751","0.325443786982249"
"Dirty Pasture","4","0","1","0","49","145",,"199","0.728643216080402","0.271356783919598"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.914110429447853","1","0.705521472392638","0.926380368098159","0.699386503067485","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.085889570552147","0","0.294478527607362","0.073619631901841","0.300613496932515","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.855828220858896",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.826993865030675",,,,,,,,,
