"Classificação Contextual - MF",,"Limiar MPAD: 3 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","143","0","0","14","0","11",,"168","0.851190476190476","0.148809523809524"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","118","0","0","0",,"118","1","0"
"Forest","13","0","0","149","0","0",,"162","0.919753086419753","0.080246913580247"
"Clean Pasture","0","0","43","0","120","9",,"172","0.697674418604651","0.302325581395349"
"Dirty Pasture","6","0","2","0","43","143",,"194","0.737113402061856","0.262886597938144"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.877300613496933","1","0.723926380368098","0.914110429447853","0.736196319018405","0.877300613496933",,,,
"Erro Omissão (Exclusão)","0.122699386503067","0","0.276073619631902","0.085889570552147","0.263803680981595","0.122699386503067",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.85480572597137",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.825766871165644",,,,,,,,,
