"Classificação Contextual - MF",,"Limiar MPAD: 14 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","156","0","0","5","0","6",,"167","0.934131736526946","0.065868263473054"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","97","0","0","0",,"97","1","0"
"Forest","6","0","1","158","0","0",,"165","0.957575757575758","0.042424242424242"
"Clean Pasture","0","0","50","0","127","5",,"182","0.697802197802198","0.302197802197802"
"Dirty Pasture","0","0","15","0","36","152",,"203","0.748768472906404","0.251231527093596"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.957055214723926","1","0.595092024539877","0.969325153374233","0.779141104294479","0.932515337423313",,,,
"Erro Omissão (Exclusão)","0.042944785276074","0","0.404907975460123","0.030674846625767","0.220858895705521","0.0674846625766869",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.872188139059305",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.846625766871166",,,,,,,,,
