"Classificação Contextual - MF",,"Limiar MPAD: 8 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","150","0","0","7","0","9",,"166","0.903614457831325","0.096385542168675"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","108","0","0","0",,"108","1","0"
"Forest","8","0","0","156","0","0",,"164","0.951219512195122","0.048780487804878"
"Clean Pasture","0","0","49","0","126","9",,"184","0.684782608695652","0.315217391304348"
"Dirty Pasture","4","0","6","0","37","145",,"192","0.755208333333333","0.244791666666667"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.920245398773006","1","0.662576687116564","0.957055214723926","0.773006134969325","0.889570552147239",,,,
"Erro Omissão (Exclusão)","0.079754601226994","0","0.337423312883436","0.042944785276074","0.226993865030675","0.110429447852761",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.867075664621677",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.840490797546012",,,,,,,,,
